ID,Add,Temp,T2,TOC,FUM TOC,TN,FUM TN,MBC,MBN
AN6-1,Cellobiose,-6,-6,5489.266773,7832.055748,216.3942291,316.5119475,2342.788974,100.1177184
AN6-2,Cellobiose,-6,-6,7248.807366,8652.864876,281.9980976,371.6588541,1404.05751,89.66075653
AN6-3,Cellobiose,-6,-6,5172.995906,5849.808267,185.4835514,270.4025153,676.8123605,84.9189639
AN6-4,Cellobiose,-6,-6,4015.566925,6022.567231,206.8866736,328.1235585,2007.000306,121.236885
CN6-1,Coloidal cellulose,-6,-6,1394.733374,3356.370966,194.5845704,431.1128336,1961.637591,236.5282633
CN6-2,Coloidal cellulose,-6,-6,1981.469124,2888.733437,258.710365,367.7759883,907.2643132,109.0656233
CN6-3,Coloidal cellulose,-6,-6,1531.958562,1845.044674,236.0813222,272.7548859,313.0861123,36.67356363
CN6-4,Coloidal cellulose,-6,-6,1089.026394,1768.796202,151.0624766,235.9245561,679.7698072,84.86207951
DN6-1,Cellulose- 20,-6,-6,835.7017896,1807.840229,127.4551886,275.1396441,972.1384397,147.6844554
DN6-2,Cellulose- 20,-6,-6,883.5981076,2386.800077,154.5606577,360.5521918,1503.201969,205.9915341
DN6-3,Cellulose- 20,-6,-6,803.8596686,1491.749236,135.4668431,231.1765862,687.8895678,95.70974304
DN6-4,Cellulose- 20,-6,-6,1055.110448,2715.241849,186.9073352,387.6972244,1660.131401,200.7898892
EN6-1,Cellulose- 90,-6,-6,928.9767165,2006.003343,123.0414399,315.3980891,1077.026627,192.3566492
EN6-2,Cellulose- 90,-6,-6,989.4388969,2266.767436,182.9021485,322.3573251,1277.328539,139.4551766
EN6-3,Cellulose- 90,-6,-6,852.4262516,3069.856206,159.5567185,412.3006617,2217.429955,252.7439431
EN6-4,Cellulose- 90,-6,-6,977.1130981,3615.783282,188.6685331,520.5586138,2638.670184,331.8900806
FN6-1,None,-6,-6,47.95567547,3544.226491,6.812760545,503.3878924,3496.270815,496.5751318
FN6-2,None,-6,-6,1291.653314,2832.930026,215.454379,410.2065078,1541.276713,194.7521288
FN6-3,None,-6,-6,1341.199275,1946.37524,201.746724,298.5889919,605.1759648,96.84226794
FN6-4,None,-6,-6,961.7107782,1966.814102,164.483096,320.4927024,1005.103324,156.0096064
AN2-1,Cellobiose,-2,-2,3161.778101,6322.162947,216.4360123,417.948421,3160.384845,201.5124087
AN2-2,Cellobiose,-2,-2,3459.130147,6919.239525,232.3894544,544.380307,3460.109378,311.9908526
AN2-3,Cellobiose,-2,-2,2934.446247,5693.999451,167.7584735,365.4606272,2759.553205,197.7021537
AN2-4,Cellobiose,-2,-2,2862.512629,8069.005958,192.4464478,567.2791106,5206.493329,374.8326628
BN2-1,Cellotetraose,-2,-2,4294.973597,6017.886937,161.4450674,367.3445558,1722.913339,205.8994885
BN2-2,Cellotetraose,-2,-2,2183.623726,6047.509947,182.502435,368.590071,3863.886221,186.087636
