ID,Date,Add,Temp,BG,AFS,CBH,LAP,NAG,PHOS,BX,per,pox,NETPEROX,EndoC,EndoX
AN6-1,,Cellobiose,-6,303.3465457,54.49216105,39.24978272,533.7887466,207.8889631,2351.280316,172.2358451,7.069089079,-3.050023411,10.11911249,,
AN6-2,,Cellobiose,-6,348.0087995,108.174071,50.67034476,707.7439235,160.9511092,3310.335494,118.3455152,2.097257582,14.44599434,-12.34873675,,
AN6-3,,Cellobiose,-6,243.3033322,53.55373179,2.116943771,484.2261047,154.1947353,1722.779823,63.62863677,10.75618784,3.716772152,7.039415687,,
AN6-4,,Cellobiose,-6,283.0946527,104.9746266,5.309687548,521.0233212,187.5188144,2098.345382,103.7341744,-1.755895018,1.66110753,-3.417002548,,
CN6-1,,Coloidal cellulose,-6,273.6289228,109.4705762,22.98315169,509.3105344,168.3623838,1939.63528,45.21973456,-2.755352177,5.859974348,-8.615326525,,
CN6-2,,Coloidal cellulose,-6,322.3435932,71.08781171,31.64008643,462.0053997,131.3716303,2040.854181,59.9400279,7.639438291,0.41500933,7.224428961,,
CN6-2,,Coloidal cellulose,-6,299.6226219,41.2509933,86.30147497,478.7939267,145.6711126,2278.508664,37.5687507,5.170660036,13.30809222,-8.137432188,,
CN6-3,,Coloidal cellulose,-6,198.6427641,100.1927351,64.78060505,349.4500931,118.6700057,1321.368141,42.65862348,9.262189405,-5.034722222,14.29691163,,
DN6-1,,Cellulose- 20,-6,82.14274485,108.8578195,48.09110468,252.574152,70.09354355,429.5636285,23.71658672,-5.006404461,-4.186913971,-0.81949049,,
DN6-2,,Cellulose- 20,-6,136.575227,103.942946,16.11430189,448.7937335,112.496504,596.413939,38.28968082,-4.571156845,5.520516704,-10.09167355,,
DN6-3,,Cellulose- 20,-6,145.4893553,98.51808283,21.46861234,326.9000845,118.5011749,538.0586321,34.11321408,-1.622077097,3.341327136,-4.963404233,,
DN6-4,,Cellulose- 20,-6,139.7049042,91.24046642,16.10853836,348.1508774,102.5263559,663.9427392,29.7533452,8.165461722,6.259433354,1.906028369,,
EN6-1,,Cellulose- 90,-6,240.0835844,67.68713868,15.477454,404.8903362,154.802137,671.0556466,38.19087543,-3.112754589,-1.281491181,-1.831263408,,
EN6-2,,Cellulose- 90,-6,174.7169175,84.19007494,11.91132173,360.3082339,102.1757129,639.1438372,21.03409998,-5.780025618,0.053370504,-5.833396122,,
EN6-3,,Cellulose- 90,-6,217.2251005,87.03184597,13.21646448,555.258095,195.5719813,761.4326436,57.10354622,2.811249822,5.18834489,-2.377095067,,
EN6-4,,Cellulose- 90,-6,157.3027009,68.43270857,15.84283862,428.046648,127.644172,636.0382793,29.58488589,2.146682267,-4.23494818,6.381630447,,
FN6-1,,None,-6,184.4689296,52.62353272,18.52155829,496.3443658,191.9600497,765.524502,44.69173532,-4.201044005,-1.734668695,-2.46637531,,
FN6-2,,None,-6,205.0670876,85.38459379,15.63923074,559.8186816,218.9827857,765.6095019,39.49457097,3.309487416,0.735025456,2.57446196,,
