ID,Date,Add,Temp,NH4,NO3,PO4,TFPA,TRS
AN6-1,,Cellobiose,-6,2.886182807,9.795142749,0.248556406,82.54443454,1.395452794
AN6-2,,Cellobiose,-6,2.540629787,10.40364187,0.136846457,88.47985511,1.489929271
AN6-3,,Cellobiose,-6,2.299160904,14.33457975,0.17995474,96.11738067,1.780600993
AN6-4,,Cellobiose,-6,2.969567346,14.36579043,0.080929483,117.5709769,2.118042261
CN6-1,,Coloidal cellulose,-6,2.618987771,19.25367776,0,84.60277948,0.18100698
CN6-2,,Coloidal cellulose,-6,2.425394542,23.11795758,0,68.65500137,0.168131049
CN6-2,,Coloidal cellulose,-6,2.679438067,17.88492768,0.041997556,100.5934751,0.183677332
CN6-3,,Coloidal cellulose,-6,1.528665501,13.49449072,0.011383696,46.16617768,0.165566442
DN6-1,,Cellulose- 20,-6,2.866189585,16.86718739,0.086297982,83.17422037,0.338273585
DN6-2,,Cellulose- 20,-6,1.978472725,21.75322337,0.113752362,114.592185,0.254302449
DN6-3,,Cellulose- 20,-6,1.816236161,17.85455655,0.191408631,145.7510629,0.27457517
DN6-4,,Cellulose- 20,-6,2.166165607,18.90976316,0.101161239,142.9170483,0.340330328
EN6-1,,Cellulose- 90,-6,2.265185686,18.74720482,0.293039359,103.2722589,0.198252716
EN6-2,,Cellulose- 90,-6,2.212397115,18.32742151,0,105.3303132,0.195561812
EN6-3,,Cellulose- 90,-6,2.54446015,18.48853708,0.151340269,111.072993,0.210269919
EN6-4,,Cellulose- 90,-6,2.392277642,19.63280592,0.092396366,107.0512659,0.192505174
FN6-1,,None,-6,10.81518974,19.25367776,0,84.60277948,0.04767298
FN6-2,,None,-6,11.35422195,23.11795758,0,68.65500137,0.034797049
FN6-3,,None,-6,12.8598245,17.88492768,0.041997556,88.59347509,0.050343332
FN6-4,,None,-6,14.83366164,13.49449072,0.011383696,46.16617768,0.032232442
AN2-1,,Cellobiose,-2,8.133420395,8.165073103,0.121495752,121.9936625,1.656830906
AN2-2,,Cellobiose,-2,7.012941518,6.18774288,0.211260601,127.9880414,1.662706776
AN2-3,,Cellobiose,-2,9.041151156,6.611443395,0.093882427,164.4849728,1.908214404
AN2-4,,Cellobiose,-2,9.038817336,5.96496327,0.116143153,114.4161344,2.127655568
CN2-1,,Coloidal cellulose,-2,5.653905559,26.52133747,0,94.05243903,0.166842564
CN2-2,,Coloidal cellulose,-2,7.246163169,16.57144818,0,62.45451935,0.14399812
CN2-3,,Coloidal cellulose,-2,5.787166789,17.82131254,0.398175116,72.40595492,0.153327228
CN2-4,,Coloidal cellulose,-2,5.972632986,21.15312948,0.520443361,73.76599055,0.142795864
DN2-1,,Cellulose- 20,-2,8.110082813,12.61518876,0.154013811,122.6715212,0.186805247
DN2-2,,Cellulose- 20,-2,7.154544322,20.60688311,0.054093533,109.5508541,0.181194782
DN2-3,,Cellulose- 20,-2,7.641716644,12.65110661,0,57.81062883,0.179428282
DN2-4,,Cellulose- 20,-2,6.675984354,17.54904977,0,102.8523049,0.169722493
EN2-1,,Cellulose- 90,-2,4.541236514,10.78632642,0.105468826,55.47817021,0.142935672
EN2-2,,Cellulose- 90,-2,4.562216255,16.73086986,0,90.64295381,0.154579734
EN2-3,,Cellulose- 90,-2,4.82097457,18.92949888,0.241017018,88.39713266,0.173881435
EN2-4,,Cellulose- 90,-2,4.413162269,22.52341337,0.118299583,94.98235231,0.162663672
FN2-1,,None,-2,7.265416869,26.52133747,0,94.05243903,0.066842564
FN2-2,,None,-2,6.400765389,16.57144818,0,62.45451935,0.04399812
FN2-3,,None,-2,6.207231586,17.82131254,0.398175116,72.40595492,0.053327228
FN2-4,,None,-2,8.353582813,21.15312948,0.520443361,73.76599055,0.042795864
BN2-1,,Cellotetraose,-2,3.963021748,7.123577583,0.220496721,120.1358135,1.143153266
BN2-2,,Cellotetraose,-2,4.584001489,8.187210958,0.111359813,123.1359078,1.002415432
BN2-3,,Cellotetraose,-2,4.893159804,5.611132048,0.113509713,155.1597316,1.01346124
BN2-4,,Cellotetraose,-2,4.644647503,6.961320487,0.016143296,119.1305971,0.993443216
A2-1,,Cellobiose,2,4.508482022,0,0,34.12678987,0.066300702
A2-2,,Cellobiose,2,3.334836132,0,0,42.12112497,0.080089385
A2-3,,Cellobiose,2,2.783609795,0,0,58.8216297,0.086628861
A2-4,,Cellobiose,2,4.173510454,0,0,64.17460965,0.106221571
C2-1,,Coloidal cellulose,2,2.811831577,40.58739416,0.084680491,44.54273952,0.111354463
C2-2,,Coloidal cellulose,2,3.719494503,42.57983854,0.126749683,59.87380089,0.103692975
C2-3,,Coloidal cellulose,2,3.333017051,36.60608943,0.147632147,34.80041709,0.080663039
C2-4,,Coloidal cellulose,2,3.413958266,39.21047967,0.069233431,37.47737225,0.065025086
D2-1,,Cellulose- 20,2,3.481303701,21.13471776,0,45.75727219,0.089074872
D2-2,,Cellulose- 20,2,4.127729312,24.25944578,0,40.57555706,0.060521899
D2-3,,Cellulose- 20,2,3.80255465,21.68450964,0.128780845,42.04221084,0.053569838
D2-4,,Cellulose- 20,2,3.871223328,21.23075206,0.019056058,40.14844594,0.057129503
E2-1,,Cellulose- 90,2,3.748374158,30.80766132,0.121669146,52.20644734,0.090324291
E2-2,,Cellulose- 90,2,2.21,29.71751859,0.094644166,45.62792894,0.090324291
E2-3,,Cellulose- 90,2,3.916930675,26.55107869,0.165166472,70.18931353,0.085619917
E2-4,,Cellulose- 90,2,2.722749845,32.01823533,0.157123482,47.93229477,0.078263784
F2-1,,None,2,3.469971132,40.58739416,0.084680491,44.54273952,0.111354463
F2-2,,None,2,3.219908465,42.57983854,0.126749683,59.87380089,0.103692975
F2-3,,None,2,4.409386454,36.60608943,0.147632147,34.80041709,0.080663039
F2-4,,None,2,3.047707577,39.21047967,0.069233431,37.47737225,0.065025086
B2-1,,Cellotetraose,2,3.145922725,25.23450981,0.013509871,40.13590731,0.124309587
B2-2,,Cellotetraose,2,2.312942347,22.21359071,0.113509735,38.13450987,0.061350971
B2-3,,Cellotetraose,2,4.111879242,39.13597135,0.121309857,53.24098714,0.050987135
B2-4,,Cellotetraose,2,2.825698412,33.13957135,0.091358197,48.13509873,0.125092435
P1,6/1/2021,None,Pre,11.56999292,22.41134804,0.315567795,39.00032675,0.039193269
P2,6/1/2021,None,Pre,11.82631467,22.93038236,0.427343888,59.089002,0.059856984
P3,6/1/2021,None,Pre,2.21,12.49884498,0.470951926,84.89516629,0.100600914
P4,6/1/2021,None,Pre,13.426843,11.161811,0.085790013,86.73298898,0.067834204
P5,6/1/2021,None,Pre,11.81544899,20.13135012,0.23105897,73.13259714,0.10124535
P6,6/1/2021,None,Pre,12.42452463,14.13598732,0.23219836,66.21365907,0.123513514
A6-1,,Cellobiose,6,2.79712194,0,0.133065352,56.9226856,0.10869878
