ID,Date,Res,Add,Temp,Res 2,,,,,Dry mass,,,
A10-1,6/2/2021,78.66056121,Cellobiose,10,15.22969935,,,,,,,,
A10-1,6/11/2021,100.3139236,Cellobiose,10,20.03266327,,,,,,,,
A10-1,6/18/2021,102.8751278,Cellobiose,10,20.60076771,,,,,,,,
A10-1,6/25/2021,135.1868396,Cellobiose,10,25.03736791,,,,,,,,
A10-1,7/2/2021,114.2604268,Cellobiose,10,23.12615752,,,,,,,,
A10-1,7/8/2021,79.5462602,Cellobiose,10,15.42615753,,,,,,,,
A10-1,7/17/2021,27.23499096,Cellobiose,10,3.822918512,,,,,,,,
A10-1,7/23/2021,34.23118259,Cellobiose,10,5.374753993,,,,,,,,
A10-2,6/2/2021,156.9890902,Cellobiose,10,32.60386475,,,,,,,,
A10-2,6/11/2021,117.1306489,Cellobiose,10,23.76280567,,,,,,,,
A10-2,6/18/2021,82.00223176,Cellobiose,10,15.97092017,,,,,,,,
A10-2,6/25/2021,146.3843423,Cellobiose,10,27.27686846,,,,,,,,
A10-2,7/2/2021,121.3279173,Cellobiose,10,24.69380791,,,,,4.508333333,,,
A10-2,7/8/2021,86.61375071,Cellobiose,10,16.99380792,,,,,,,,
A10-2,7/17/2021,25.86385062,Cellobiose,10,3.518783871,,,,,,,,
A10-2,7/23/2021,40.39731098,Cellobiose,10,6.742471937,,,,,,,,
A10-3,6/2/2021,142.8378593,Cellobiose,10,29.46495954,,,,,,,,
A10-3,6/11/2021,120.8558062,Cellobiose,10,24.58908826,,,,,,,,
A10-3,6/18/2021,80.14386155,Cellobiose,10,15.55871236,,,,,,,,
A10-3,6/25/2021,128.1710078,Cellobiose,10,23.63420156,,,,,,,,
A10-3,7/2/2021,109.8322678,Cellobiose,10,22.1439411,,,,,,,,
A10-3,7/8/2021,75.11810112,Cellobiose,10,14.4439411,,,,,,,,
A10-3,7/17/2021,27.77959184,Cellobiose,10,3.943717228,,,,,,,,
A10-3,7/23/2021,48.5399301,Cellobiose,10,8.548598175,,,,,,,,
A10-4,6/2/2021,170.961562,Cellobiose,10,35.70311911,,,,,,,,
A10-4,6/11/2021,114.6237093,Cellobiose,10,23.20673775,,,,,,,,
A10-4,6/18/2021,80.39034759,Cellobiose,10,15.61338579,,,,,,,,
A10-4,6/25/2021,134.8474174,Cellobiose,10,24.96948348,,,,,,,,
A10-4,7/2/2021,114.046195,Cellobiose,10,23.07863844,,,,,,,,
A10-4,7/8/2021,79.33202831,Cellobiose,10,15.37863844,,,,,,,,
A10-4,7/17/2021,34.03336809,Cellobiose,10,5.330876472,,,,,,,,
A10-4,7/23/2021,35.30780651,Cellobiose,10,5.613561518,,,,,,,,
A2-1,6/2/2021,113.5060365,Cellobiose,2,25.17693971,,,,,,,,
A2-1,6/11/2021,13.9691623,Cellobiose,2,3.098520288,,,,,,,,
A2-1,6/18/2021,25.30562099,Cellobiose,2,5.613076744,,,,,,,,
A2-1,6/25/2021,103.3831858,Cellobiose,2,20.67663715,,,,,,,,
A2-1,7/2/2021,88.25800582,Cellobiose,2,19.57663715,,,,,,,,
A2-1,7/8/2021,11.53682563,Cellobiose,2,2.55900014,,,,,,,,
A2-1,7/17/2021,3.834777747,Cellobiose,2,0.850597652,,,,,,,,
A2-1,7/23/2021,24.41097285,Cellobiose,2,5.414633534,,,,,,,,
A2-1,7/30/2021,5.773714856,Cellobiose,2,1.280676123,,,,,,,,
A2-2,6/2/2021,96.73223548,Cellobiose,2,21.45631841,,,,,,,,
A2-2,6/11/2021,41.4752458,Cellobiose,2,9.199684835,,,,,,,,
A2-2,6/18/2021,27.45113541,Cellobiose,2,6.088976431,,,,,,,,
A2-2,6/25/2021,97.2036565,Cellobiose,2,19.4407313,,,,,,,,
A2-2,7/2/2021,82.68613028,Cellobiose,2,18.3407313,,,,,,,,
A2-2,7/8/2021,13.20764236,Cellobiose,2,2.929606438,,,,,,,,
A2-2,7/17/2021,6.534954407,Cellobiose,2,1.44952778,,,,,,,,
A2-2,7/23/2021,19.17600149,Cellobiose,2,4.253456892,,,,,,,,
A2-2,7/30/2021,8.532939623,Cellobiose,2,1.892703798,,,,,,,,
A2-3,6/2/2021,94.93160616,Cellobiose,2,21.05691819,,,,,,,,
A2-3,6/11/2021,21.30947765,Cellobiose,2,4.726686355,,,,,,,,
A2-3,6/18/2021,32.39942081,Cellobiose,2,7.186562842,,,,,,,,
A2-3,6/25/2021,105.4804997,Cellobiose,2,21.09609993,,,,,,,,
A2-3,7/2/2021,90.14908385,Cellobiose,2,19.99609993,,,,,,,,
A2-3,7/8/2021,12.49837643,Cellobiose,2,2.772283126,,,,,,,,
A2-3,7/17/2021,4.490230415,Cellobiose,2,0.995984565,,,,,,,,
A2-3,7/23/2021,22.67826435,Cellobiose,2,5.030298932,,,,,,,,
A2-3,7/30/2021,7.25289725,Cellobiose,2,1.60877573,,,,,,,,
A2-4,6/2/2021,90.64253826,Cellobiose,2,20.10555377,,,,,,,,
A2-4,6/11/2021,49.15695965,Cellobiose,2,10.903577,,,,,,,,
A2-4,6/18/2021,45.64499286,Cellobiose,2,10.12458252,,,,,,,,
A2-4,6/25/2021,100.7584212,Cellobiose,2,20.15168424,,,,,,,,
A2-4,7/2/2021,85.89134312,Cellobiose,2,19.05168424,,,,,,,,
A2-4,7/8/2021,12.92977072,Cellobiose,2,2.867971324,,,,,,,,
A2-4,7/17/2021,4.845238095,Cellobiose,2,1.074729337,,,,,,,,
A2-4,7/23/2021,18.00739983,Cellobiose,2,3.994247652,,,,,,,,
A2-4,7/30/2021,7.145219199,Cellobiose,2,1.584891504,,,,,,,,
A6-1,6/2/2021,167.6382296,Cellobiose,6,37.1840805,,,,,,,,
A6-1,6/11/2021,64.37578824,Cellobiose,6,14.27928759,,,,,,,,
A6-1,6/18/2021,82.62280138,Cellobiose,6,18.32668423,,,,,,,,
A6-1,6/25/2021,57.6931362,Cellobiose,6,11.53862724,,,,,,,,
A6-1,7/2/2021,60.56590401,Cellobiose,6,13.43421161,,,,,,,,
A6-1,7/8/2021,47.97898203,Cellobiose,6,10.64228807,,,,,,,,
A6-1,7/17/2021,10.93388812,Cellobiose,6,2.42526169,,,,,,,,
A6-1,7/23/2021,19.74618522,Cellobiose,6,4.379930178,,,,,,,,
A6-1,7/26/2021,9.171798579,Cellobiose,6,2.034410036,,,,,,,,
A6-2,6/2/2021,140.1437736,Cellobiose,6,31.08549506,,,,,,,,
A6-2,6/11/2021,65.31194186,Cellobiose,6,14.4869372,,,,,,,,
A6-2,6/18/2021,80.8266047,Cellobiose,6,17.92826722,,,,,,,,
A6-2,6/25/2021,80.25520805,Cellobiose,6,16.05104161,,,,,,,,
A6-2,7/2/2021,69.42412535,Cellobiose,6,15.39906662,,,,,,,,
A6-2,7/8/2021,57.94448105,Cellobiose,6,12.85274996,,,,,,,,
A6-2,7/17/2021,8.042136389,Cellobiose,6,1.783838016,,,,,,,,
A6-2,7/23/2021,25.10686177,Cellobiose,6,5.568989673,,,,,,,,
A6-2,7/26/2021,7.467316262,Cellobiose,6,1.656336324,,,,,,,,
A6-3,6/2/2021,192.2623958,Cellobiose,6,42.64600276,,,,,,,,
A6-3,6/11/2021,66.35752938,Cellobiose,6,14.71886049,,,,,,,,
A6-3,6/18/2021,85.81444553,Cellobiose,6,19.03462747,,,,,,,,
A6-3,6/25/2021,76.04417515,Cellobiose,6,15.20883503,,,,,,,,
A6-3,7/2/2021,66.99407869,Cellobiose,6,14.86005442,,,,,,,,
A6-3,7/8/2021,55.21067851,Cellobiose,6,12.24636122,,,,,,,,
A6-3,7/17/2021,13.47938762,Cellobiose,6,2.989882652,,,,,,,,
A6-3,7/23/2021,21.19141291,Cellobiose,6,4.700498242,,,,,,,,
A6-3,7/26/2021,8.246123854,Cellobiose,6,1.829084773,,,,,,,,
A6-4,6/2/2021,194.7772694,Cellobiose,6,43.20383055,,,,,,,,
A6-4,6/11/2021,82.76574129,Cellobiose,6,18.35838994,,,,,,,,
A6-4,6/18/2021,87.43857904,Cellobiose,6,19.3948789,,,,,,,,
A6-4,6/25/2021,74.3292614,Cellobiose,6,14.86585228,,,,,,,,
A6-4,7/2/2021,66.00445914,Cellobiose,6,14.64054547,,,,,,,,
A6-4,7/8/2021,54.09735652,Cellobiose,6,11.99941365,,,,,,,,
A6-4,7/17/2021,10.95167933,Cellobiose,6,2.429207984,,,,,,,,
A6-4,7/23/2021,19.15158013,Cellobiose,6,4.248039955,,,,,,,,
A6-4,7/26/2021,9.672645217,Cellobiose,6,2.14550356,,,,,,,,
AN2-1,6/2/2021,3.112911494,Cellobiose,-2,0.690479444,,,,,,,,
AN2-1,6/11/2021,9.296583693,Cellobiose,-2,2.062088804,,,,,,,,
AN2-1,6/18/2021,8.18520701,Cellobiose,-2,1.815572719,,,,,,,,
AN2-1,6/25/2021,17.07978167,Cellobiose,-2,3.788491314,,,,,,,,
AN2-1,7/2/2021,12.57144834,Cellobiose,-2,2.788491314,,,,,,,,
AN2-1,7/8/2021,9.243894167,Cellobiose,-2,2.050401664,,,,,,,,
AN2-1,7/17/2021,12.5296468,Cellobiose,-2,2.779219254,,,,,,,,
AN2-1,7/23/2021,10.39940084,Cellobiose,-2,2.306706286,,,,,,,,
AN2-1,7/30/2021,7.415006917,Cellobiose,-2,1.644733512,,,,,,,,
AN2-1,8/6/2021,6.322696779,Cellobiose,-2,1.402446605,,,,,,,,
AN2-2,6/2/2021,1.809698837,Cellobiose,-2,0.401411942,,,,,,,,
AN2-2,6/11/2021,6.774725023,Cellobiose,-2,1.50271165,,,,,,,,
AN2-2,6/18/2021,7.616955232,Cellobiose,-2,1.689527963,,,,,,,,
AN2-2,6/25/2021,9.953078233,Cellobiose,-2,2.207706817,,,,,,,,
AN2-2,7/2/2021,9.953078233,Cellobiose,-2,2.207706817,,,,,,,,
AN2-2,7/8/2021,8.212881159,Cellobiose,-2,1.821711163,,,,,,,,
AN2-2,7/17/2021,12.14018922,Cellobiose,-2,2.6928331,,,,,,,,
AN2-2,7/23/2021,11.16570992,Cellobiose,-2,2.476682422,,,,,,,,
