CoreID,inc,Add
out_Wein_B2.2_25_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8468,2,callotetraose
out_Wein_B2.3_43_C_FTICR_07Nov22_Fir_300SA_IATp01_8363,2,callotetraose
out_Wein_B2.3_43_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8453,2,callotetraose
out_Wein_Blank_2_C_FTICR_07Nov22_Fir_300SA_IATp01_8325,NA,NA
out_Wein_Blank_2_C_FTICR_07Nov22_Fir_300SA_IATp01_8349,NA,NA
out_Wein_Blank_2_C_FTICR_r2_09Nov22_Fir_300SA_IATp01_8406,NA,NA
out_Wein_Blank_2_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8429,NA,NA
out_Wein_Blank_3_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8480,NA,NA
out_Wein_Blank_4_C_FTICR_07Nov22_Fir_300SA_IATp01_8367,NA,NA
out_Wein_Blank_5_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8504,NA,NA
out_Wein_Blank_6_C_FTICR_07Nov22_Fir_300SA_IATp01_8404,NA,NA
out_Wein_BN2.1_18_C_FTICR_07Nov22_Fir_300SA_IATp01_8371,-2,callotetraose
out_Wein_BN2.1_18_C_FTICR_r2_09Nov22_Fir_300SA_IATp01_8418,-2,callotetraose
out_Wein_BN2.1_18_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8492,-2,callotetraose
out_Wein_BN2.2_31_C_FTICR_07Nov22_Fir_300SA_IATp01_8336,-2,callotetraose
out_Wein_BN2.2_31_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8473,-2,callotetraose
out_Wein_BN2.3_55_C_FTICR_07Nov22_Fir_300SA_IATp01_8396,-2,callotetraose
out_Wein_BN2.3_55_C_FTICR_r2_09Nov22_Fir_300SA_IATp01_8416,-2,callotetraose
out_Wein_BN2.3_55_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8490,-2,callotetraose
out_Wein_C2.1_13_C_FTICR_07Nov22_Fir_300SA_IATp01_8337,2,coloidal
out_Wein_C2.1_13_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8448,2,coloidal
out_Wein_C2.2_4_C_FTICR_07Nov22_Fir_300SA_IATp01_8370,2,coloidal
out_Wein_C2.2_4_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8474,2,coloidal
out_Wein_C2.3_19_C_FTICR_07Nov22_Fir_300SA_IATp01_8398,2,coloidal
out_Wein_C2.3_19_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8477,2,coloidal
